Player;Role;Team;Opponent Team;Opponent Player;Date;Round;Day;Patch;Stage;No Game;all Games;Format;Game of day;Side;Time;Ban;Ban Opponent;Pick;Pick Opponent;Champion;Champion Opponent;Outcome;Kills Team;Turrets Team;Dragon Team;Baron Team;Level;Kills;Deaths;Assists;KDA;CS;CS in Teams Jungle;CS in Enemy Jungle;CSM;Golds;GPM;GOLD%;Vision Score;Wards placed;Wards destroyed;Control Wards Purchased;Detector Wards Placed;VSPM;WPM;VWPM;WCPM;VS%;Total damage to Champion;Physical Damage;Magic Damage;True Damage;DPM;DMG%;K+A Per Minute;KP%;Solo kills;Double kills;Triple kills;Quadra kills;Penta kills;GD@15;CSD@15;XPD@15;LVLD@15;Objectives Stolen;Damage dealt to turrets;Damage dealt to buildings;Total heal;Total Heals On Teammates;Damage self mitigated;Total Damage Shielded On Teammates;Time ccing others;Total Time CC Dealt;Total damage taken;Total Time Spent Dead;Consumables purchased;Items Purchased;Shutdown bounty collected;Shutdown bounty lost
Photon;TOP;VIT;SK;Irrelevant;30.03.2024;1;1;v14.6;Spring_Playoffs_24;1;3;3;1;Blue;00:31:33;Varus;Twisted_Fate;Rumble;Zeri;Rumble;KSante;Loss;8;3;0;1;17;2;3;4;2;288;22;0;9.1;13839;439;24.2;40;18;8;8;6;1.27;0.57;0.25;0.25;15.8;28283;409;25791;2083;896;35;0.19;75;0;0;0;0;0;479;17;-280;0;0;2878;2878;2853;393;14803;0;16;372;17194;74;12;24;0;150
Daglas;JUNGLE;VIT;SK;Isma;30.03.2024;1;1;v14.6;Spring_Playoffs_24;1;3;3;1;Blue;00:31:33;Rell;Kalista;Vi;Sejuani;Vi;Sejuani;Loss;8;3;0;1;14;2;5;4;1.2;184;172;0;5.8;11052;350;19.3;44;10;7;10;8;1.39;0.32;0.32;0.22;17.4;7330;7058;0;272;232;9.1;0.19;75;0;0;0;0;0;327;23;270;0;1;3579;3579;10307;0;29468;0;25;268;27764;204;12;31;650;0
Vetheo;MID;VIT;SK;Nisqy;30.03.2024;1;1;v14.6;Spring_Playoffs_24;1;3;3;1;Blue;00:31:33;Maokai;Orianna;Ahri;Azir;Ahri;Azir;Loss;8;3;0;1;16;3;4;2;1.3;304;0;0;9.6;13140;416;22.9;60;26;17;5;5;1.9;0.82;0.16;0.54;23.7;18194;782;11019;6393;577;22.5;0.16;62.5;0;1;0;0;0;425;3;184;0;0;1504;1504;3794;0;11104;0;13;64;17254;109;7;21;400;350
Carzzy;ADCARRY;VIT;SK;Exakick;30.03.2024;1;1;v14.6;Spring_Playoffs_24;1;3;3;1;Blue;00:31:33;Renekton;Nautilus;Yasuo;Rakan;Yasuo;Zeri;Loss;8;3;0;1;14;0;7;2;0.3;250;0;0;7.9;10595;336;18.5;25;15;7;7;7;0.79;0.48;0.22;0.22;9.9;10197;8954;594;649;323;12.6;0.06;25;0;0;0;0;0;308;8;480;1;0;836;836;3878;0;29340;0;18;139;24479;263;10;29;0;200
Hylissang;SUPPORT;VIT;SK;Doss;30.03.2024;1;1;v14.6;Spring_Playoffs_24;1;3;3;1;Blue;00:31:33;Jax;Jinx;Senna;KSante;Senna;Rakan;Loss;8;3;0;1;13;1;7;6;1;38;4;0;1.2;8643;274;15.1;84;38;16;8;7;2.66;1.2;0.25;0.51;33.2;16825;16356;0;469;533;20.8;0.22;87.5;0;0;0;0;0;859;3;771;1;0;2388;2388;9974;2824;13004;2336;41;232;23035;196;10;28;50;0
Irrelevant;TOP;SK;VIT;Photon;30.03.2024;1;1;v14.6;Spring_Playoffs_24;1;3;3;1;Red;00:31:33;Twisted_Fate;Varus;Zeri;Rumble;KSante;Rumble;Win;26;8;4;1;17;6;1;14;20;190;0;0;6;11985;380;19.2;27;7;9;4;4;0.86;0.22;0.13;0.29;10.1;17502;14931;1219;1352;555;20.6;0.63;76.9;1;0;0;0;0;-479;-17;280;0;0;2207;2207;4723;0;47222;1680;27;546;23733;26;5;19;250;0
Isma;JUNGLE;SK;VIT;Daglas;30.03.2024;1;1;v14.6;Spring_Playoffs_24;1;3;3;1;Red;00:31:33;Kalista;Rell;Sejuani;Vi;Sejuani;Vi;Win;26;8;4;1;16;4;2;17;10.5;183;162;0;5.8;11588;367;18.5;40;15;8;13;13;1.27;0.48;0.41;0.25;15;11015;6123;4533;359;349;12.9;0.67;80.8;0;0;0;0;0;-327;-23;-270;0;0;1075;1075;17758;0;42960;0;20;312;38378;64;15;33;150;50
Nisqy;MID;SK;VIT;Vetheo;30.03.2024;1;1;v14.6;Spring_Playoffs_24;1;3;3;1;Red;00:31:33;Orianna;Maokai;Azir;Ahri;Azir;Ahri;Win;26;8;4;1;17;7;3;9;5.3;275;28;0;8.7;13900;441;22.2;32;15;11;6;5;1.01;0.48;0.19;0.35;12;28121;386;27232;503;891;33;0.51;61.5;0;1;0;0;0;-425;-3;-184;0;0;9571;9571;4831;0;18683;0;10;198;25642;87;8;30;100;650
Exakick;ADCARRY;SK;VIT;Carzzy;30.03.2024;1;1;v14.6;Spring_Playoffs_24;1;3;3;1;Red;00:31:33;Nautilus;Renekton;Rakan;Yasuo;Zeri;Yasuo;Win;26;8;4;1;17;7;1;11;18;364;30;0;11.5;16258;515;26;47;17;21;7;7;1.49;0.54;0.22;0.67;17.6;24354;14182;9249;923;772;28.6;0.57;69.2;0;0;1;0;0;-308;-8;-480;-1;0;12430;12430;5106;0;14410;0;10;274;20163;45;10;27;0;400
Doss;SUPPORT;SK;VIT;Hylissang;30.03.2024;1;1;v14.6;Spring_Playoffs_24;1;3;3;1;Red;00:31:33;Jinx;Jax;KSante;Senna;Rakan;Senna;Win;26;8;4;1;13;2;1;18;20;25;0;0;0.8;8780;278;14;121;77;11;11;10;3.84;2.44;0.35;0.35;45.3;4107;1095;2952;60;130;4.8;0.63;76.9;0;0;0;0;0;-859;-3;-771;-1;0;1233;1233;8969;3863;17160;5233;22;45;14438;10;14;30;200;0
Photon;TOP;VIT;SK;Irrelevant;30.03.2024;1;1;v14.6;Spring_Playoffs_24;2;3;3;2;Blue;00:37:59;Varus;Twisted_Fate;Orianna;Zeri;Jayce;Renekton;Win;25;10;4;1;18;9;3;10;6.3;321;44;0;8.5;17539;462;22.9;65;21;20;7;7;1.71;0.55;0.18;0.53;16.6;46601;37679;6863;2059;1227;28.6;0.5;76;0;1;1;0;0;1011;30;505;0;0;6746;6746;5020;0;34479;0;15;245;26871;118;8;26;250;800
Daglas;JUNGLE;VIT;SK;Isma;30.03.2024;1;1;v14.6;Spring_Playoffs_24;2;3;3;2;Blue;00:37:59;Rell;Kalista;Xayah;Sejuani;Volibear;Sejuani;Win;25;10;4;1;16;2;5;14;3.2;179;146;0;4.7;12279;323;16;74;16;23;16;14;1.95;0.42;0.42;0.61;18.9;16754;9971;5859;924;441;10.3;0.42;64;0;0;0;0;0;-242;5;-430;0;1;2862;2862;19830;0;57257;0;22;487;45299;141;17;37;0;0
Vetheo;MID;VIT;SK;Nisqy;30.03.2024;1;1;v14.6;Spring_Playoffs_24;2;3;3;2;Blue;00:37:59;Maokai;Rumble;Volibear;Azir;Orianna;Azir;Win;25;10;4;1;18;1;4;14;3.8;299;9;0;7.9;14514;382;19;64;24;11;13;12;1.68;0.63;0.34;0.29;16.3;29392;1116;27145;1131;774;18.1;0.39;60;0;0;0;0;0;-1261;-8;-1349;-1;0;5717;5717;1554;0;18143;3759;29;382;16260;110;17;31;100;50
